datetime,open,high,low,close,volume,volume
2025-07-22 16:30:00+00:00,1163.1,1174.0,1163.1,1171.23,445,0
2025-07-22 16:45:00+00:00,1170.64,1186.27,1169.88,1182.34,444,0
2025-07-22 17:00:00+00:00,1182.5,1182.63,1172.22,1176.35,445,0
2025-07-22 17:15:00+00:00,1176.83,1177.28,1166.62,1171.81,439,0
2025-07-22 17:30:00+00:00,1171.95,1177.71,1168.43,1174.34,446,0
2025-07-22 17:45:00+00:00,1174.17,1179.06,1170.87,1177.43,442,0
2025-07-22 18:00:00+00:00,1178.01,1188.87,1178.01,1185.41,445,0
2025-07-22 18:15:00+00:00,1186.04,1199.51,1185.93,1199.28,445,0
2025-07-22 18:30:00+00:00,1199.24,1205.34,1193.59,1204.88,446,0
2025-07-22 18:45:00+00:00,1204.99,1213.18,1204.83,1211.58,446,0
2025-07-22 19:00:00+00:00,1211.86,1218.46,1211.86,1213.85,445,0
2025-07-22 19:15:00+00:00,1213.98,1221.12,1212.15,1220.31,443,0
2025-07-22 19:30:00+00:00,1220.65,1228.99,1216.63,1224.69,447,0
2025-07-22 19:45:00+00:00,1224.68,1227.97,1221.35,1223.6,445,0
2025-07-22 20:00:00+00:00,1223.56,1225.88,1220.0,1221.84,445,0
2025-07-22 20:15:00+00:00,1221.38,1224.78,1214.21,1216.81,446,0
2025-07-22 20:30:00+00:00,1216.99,1217.04,1208.29,1211.7,443,0
2025-07-22 20:45:00+00:00,1212.5,1218.15,1210.53,1216.17,442,0
2025-07-22 21:00:00+00:00,1216.8,1217.08,1210.06,1213.11,440,0
2025-07-22 21:15:00+00:00,1213.42,1220.31,1212.44,1217.18,445,0
2025-07-22 21:30:00+00:00,1217.0,1217.06,1208.44,1209.86,444,0
2025-07-22 21:45:00+00:00,1209.56,1214.18,1208.15,1212.89,447,0
2025-07-22 22:00:00+00:00,1213.65,1217.98,1207.82,1208.5,440,0
2025-07-22 22:15:00+00:00,1208.48,1221.61,1207.58,1213.59,440,0
2025-07-22 22:30:00+00:00,1213.65,1213.69,1199.71,1202.33,447,0
2025-07-22 22:45:00+00:00,1202.92,1208.86,1197.26,1208.86,441,0
2025-07-22 23:00:00+00:00,1208.88,1211.01,1204.54,1207.84,441,0
2025-07-22 23:15:00+00:00,1208.12,1214.93,1203.14,1209.45,442,0
2025-07-22 23:30:00+00:00,1209.34,1211.87,1204.68,1210.19,445,0
2025-07-22 23:45:00+00:00,1209.94,1209.94,1197.11,1197.99,444,0
2025-07-23 00:00:00+00:00,1197.95,1209.3,1196.4,1208.38,445,0
2025-07-23 00:15:00+00:00,1208.42,1220.73,1205.95,1220.73,445,0
2025-07-23 00:30:00+00:00,1220.81,1220.81,1207.99,1210.1,446,0
2025-07-23 00:45:00+00:00,1210.93,1214.31,1206.06,1208.99,448,0
2025-07-23 01:00:00+00:00,1209.37,1210.01,1197.99,1202.12,447,0
2025-07-23 01:15:00+00:00,1201.22,1205.39,1198.85,1202.96,445,0
2025-07-23 01:30:00+00:00,1203.16,1205.96,1198.15,1198.37,441,0
2025-07-23 01:45:00+00:00,1198.26,1200.4,1185.09,1187.86,445,0
2025-07-23 02:00:00+00:00,1188.03,1188.03,1177.61,1178.85,445,0
2025-07-23 02:15:00+00:00,1178.59,1180.79,1175.77,1180.0,445,0
2025-07-23 02:30:00+00:00,1180.3,1181.24,1166.5,1167.69,447,0
2025-07-23 02:45:00+00:00,1167.82,1176.98,1163.81,1173.59,446,0
2025-07-23 03:00:00+00:00,1173.61,1179.79,1166.8,1178.1,445,0
2025-07-23 03:15:00+00:00,1178.04,1180.38,1174.86,1176.15,439,0
2025-07-23 03:30:00+00:00,1176.14,1181.23,1174.49,1175.28,441,0
2025-07-23 03:45:00+00:00,1175.78,1181.62,1173.68,1175.03,444,0
2025-07-23 04:00:00+00:00,1175.29,1178.67,1171.69,1178.54,445,0
2025-07-23 04:15:00+00:00,1177.86,1183.53,1169.56,1181.3,442,0
2025-07-23 04:30:00+00:00,1181.33,1186.23,1173.39,1173.88,443,0
2025-07-23 04:45:00+00:00,1174.31,1186.66,1173.06,1182.01,439,0
2025-07-23 05:00:00+00:00,1181.73,1191.51,1179.33,1187.03,443,0
2025-07-23 05:15:00+00:00,1186.83,1187.06,1181.06,1182.98,444,0
2025-07-23 05:30:00+00:00,1183.3,1188.04,1179.12,1188.04,447,0
2025-07-23 05:45:00+00:00,1188.22,1198.61,1184.36,1198.31,446,0
2025-07-23 06:00:00+00:00,1198.58,1202.63,1195.93,1196.19,444,0
2025-07-23 06:15:00+00:00,1196.22,1199.77,1192.72,1198.59,445,0
2025-07-23 06:30:00+00:00,1198.42,1198.95,1191.58,1194.65,446,0
2025-07-23 06:45:00+00:00,1194.52,1197.57,1187.69,1192.66,443,0
2025-07-23 07:00:00+00:00,1192.91,1193.27,1179.52,1182.16,448,0
2025-07-23 07:15:00+00:00,1182.34,1194.33,1181.53,1190.85,448,0
2025-07-23 07:30:00+00:00,1190.03,1190.92,1174.02,1174.5,444,0
2025-07-23 07:45:00+00:00,1174.52,1175.59,1163.29,1165.55,444,0
2025-07-23 08:00:00+00:00,1165.43,1174.73,1164.09,1174.73,442,0
2025-07-23 08:15:00+00:00,1174.52,1180.02,1170.63,1174.12,443,0
2025-07-23 08:30:00+00:00,1174.06,1180.73,1170.58,1175.32,444,0
2025-07-23 08:45:00+00:00,1176.19,1180.5,1173.9,1174.34,441,0
2025-07-23 09:00:00+00:00,1174.75,1178.16,1169.57,1172.08,445,0
2025-07-23 09:15:00+00:00,1172.34,1182.82,1167.6,1177.57,444,0
2025-07-23 09:30:00+00:00,1177.9,1188.94,1177.44,1187.09,447,0
2025-07-23 09:45:00+00:00,1187.18,1192.96,1181.88,1191.95,441,0
2025-07-23 10:00:00+00:00,1191.7,1194.82,1182.13,1183.26,444,0
2025-07-23 10:15:00+00:00,1183.25,1189.49,1181.26,1185.73,447,0
2025-07-23 10:30:00+00:00,1185.95,1193.17,1185.93,1188.2,448,0
2025-07-23 10:45:00+00:00,1188.79,1192.77,1186.25,1186.28,447,0
2025-07-23 11:00:00+00:00,1186.58,1188.3,1175.87,1176.03,444,0
2025-07-23 11:15:00+00:00,1175.89,1182.86,1174.86,1179.83,442,0
2025-07-23 11:30:00+00:00,1179.35,1193.75,1178.46,1188.17,441,0
2025-07-23 11:45:00+00:00,1188.5,1194.14,1186.36,1187.92,443,0
2025-07-23 12:00:00+00:00,1187.98,1189.6,1178.93,1180.29,443,0
2025-07-23 12:15:00+00:00,1180.6,1180.6,1171.36,1175.82,439,0
2025-07-23 12:30:00+00:00,1176.12,1179.65,1171.61,1173.92,445,0
2025-07-23 12:45:00+00:00,1174.14,1176.39,1168.71,1174.15,442,0
2025-07-23 13:00:00+00:00,1174.45,1189.5,1174.45,1189.47,444,0
2025-07-23 13:15:00+00:00,1189.54,1194.64,1185.79,1194.04,445,0
2025-07-23 13:30:00+00:00,1193.55,1196.93,1190.32,1195.73,438,0
2025-07-23 13:45:00+00:00,1195.56,1199.39,1190.26,1198.93,446,0
2025-07-23 14:00:00+00:00,1199.01,1209.1,1197.57,1202.18,445,0
2025-07-23 14:15:00+00:00,1201.93,1201.93,1194.45,1196.25,445,0
2025-07-23 14:30:00+00:00,1196.33,1198.48,1193.09,1193.09,446,0
2025-07-23 14:45:00+00:00,1193.47,1196.71,1186.39,1191.2,440,0
2025-07-23 15:00:00+00:00,1191.23,1194.96,1184.83,1189.92,444,0
2025-07-23 15:15:00+00:00,1189.55,1201.42,1188.71,1198.38,443,0
2025-07-23 15:30:00+00:00,1198.45,1204.29,1198.09,1199.84,446,0
2025-07-23 15:45:00+00:00,1199.68,1203.48,1192.27,1195.12,444,0
2025-07-23 16:00:00+00:00,1195.31,1203.85,1194.33,1197.37,444,0
2025-07-23 16:15:00+00:00,1198.13,1209.34,1194.6,1206.65,445,0
2025-07-23 16:30:00+00:00,1206.4,1212.05,1201.59,1204.93,445,0
2025-07-23 16:45:00+00:00,1205.51,1206.95,1199.79,1205.13,445,0
2025-07-23 17:00:00+00:00,1204.96,1209.87,1199.6,1203.02,445,0
2025-07-23 17:15:00+00:00,1203.31,1205.62,1192.66,1200.6,442,0
2025-07-23 17:30:00+00:00,1200.71,1204.58,1189.19,1189.43,441,0
2025-07-23 17:45:00+00:00,1189.56,1197.26,1187.5,1191.58,447,0
